Incident Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
6.84E+01;9.18E+00;2.55E-03
6.85E+01;9.19E+00;1.53E-03
6.86E+01;9.15E+00;1.25E-03
6.88E+01;9.17E+00;1.46E-03
6.89E+01;9.20E+00;2.36E-03
6.90E+01;9.19E+00;2.53E-03
6.91E+01;9.19E+00;1.60E-03
6.92E+01;9.25E+00;2.45E-03
6.93E+01;9.25E+00;2.15E-03
6.94E+01;9.25E+00;2.70E-03
6.95E+01;9.25E+00;2.26E-03
6.97E+01;9.25E+00;1.38E-03
6.98E+01;9.26E+00;2.17E-03
6.99E+01;9.27E+00;2.34E-03
