External Angle (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
3.17E+01;9.46E+00;1.78E-15
3.16E+01;9.46E+00;5.07E-04
3.15E+01;9.46E+00;1.78E-15
3.14E+01;9.46E+00;1.77E-03
3.12E+01;9.46E+00;9.99E-04
3.11E+01;9.46E+00;5.07E-04
3.10E+01;9.47E+00;1.30E-03
3.09E+01;9.46E+00;2.34E-03
3.08E+01;9.46E+00;5.07E-04
3.07E+01;9.46E+00;2.24E-03
3.06E+01;9.46E+00;7.14E-04
3.05E+01;9.46E+00;1.78E-15
3.03E+01;9.46E+00;1.46E-03
3.02E+01;9.45E+00;2.11E-03
3.01E+01;9.46E+00;1.21E-03
